No;Kode;Daerah;Level;SD;SMP;SMA;SMK;Total
491;280.100;Kab. Pandeglang;Kabupaten/Kota;249;92;41;76;458
492;280.200;Kab. Lebak;Kabupaten/Kota;204;85;29;23;341
493;280.300;Kab. Tangerang;Kabupaten/Kota;408;88;93;332;921
494;280.400;Kab. Serang;Kabupaten/Kota;181;161;137;71;550
495;286.000;Kota Cilegon;Kabupaten/Kota;9;2;4;37;52
496;286.100;Kota Tangerang;Kabupaten/Kota;111;6;8;12;137
497;286.200;Kota Serang;Kabupaten/Kota;143;23;16;27;209
498;286.300;Kota Tangerang Selatan;Kabupaten/Kota;92;14;14;2;122
500;290.100;Kab. Bangka;Kabupaten/Kota;71;4;6;3;84
501;290.200;Kab. Belitung;Kabupaten/Kota;14;1;1;16;32
502;290.300;Kab. Bangka Tengah;Kabupaten/Kota;16;3;1;1;21
503;290.400;Kab. Bangka Barat;Kabupaten/Kota;39;14;5;9;67
504;290.500;Kab. Bangka Selatan;Kabupaten/Kota;42;6;10;19;77
505;290.600;Kab. Belitung Timur;Kabupaten/Kota;16;2;0;0;18
506;296.000;Kota Pangkalpinang;Kabupaten/Kota;33;1;0;3;37
508;300.100;Kab. Boalemo;Kabupaten/Kota;106;27;44;24;201
509;300.200;Kab. Gorontalo;Kabupaten/Kota;137;61;42;24;264
510;300.300;Kab. Pohuwato;Kabupaten/Kota;103;19;29;10;161
511;300.400;Kab. Bone Bolango;Kabupaten/Kota;86;45;27;17;175
512;300.500;Kab. Gorontalo Utara;Kabupaten/Kota;58;17;20;60;155
513;306.000;Kota Gorontalo;Kabupaten/Kota;28;14;6;14;62
515;310.100;Kab. Bintan;Kabupaten/Kota;35;0;1;2;38
516;310.200;Kab. Karimun;Kabupaten/Kota;32;3;2;0;37
517;310.300;Kab. Natuna;Kabupaten/Kota;4;3;4;0;11
518;310.400;Kab. Lingga;Kabupaten/Kota;2;1;1;0;4
519;310.500;Kab. Kepulauan Anambas;Kabupaten/Kota;7;1;0;0;8
520;316.000;Kota Batam;Kabupaten/Kota;169;10;52;5;236
521;316.100;Kota Tanjungpinang;Kabupaten/Kota;22;1;1;1;25
523;320.100;Kab. Fakfak;Kabupaten/Kota;32;10;10;8;60
524;320.200;Kab. Kaimana;Kabupaten/Kota;25;4;0;0;29
525;320.300;Kab. Teluk Wondama;Kabupaten/Kota;73;5;0;0;78
526;320.400;Kab. Teluk Bintuni;Kabupaten/Kota;59;20;0;6;85
527;320.500;Kab. Manokwari;Kabupaten/Kota;25;6;7;17;55
528;320.600;Kab. Sorong Selatan;Kabupaten/Kota;32;2;0;0;34
529;320.700;Kab. Sorong;Kabupaten/Kota;96;9;13;3;121
530;320.800;Kab. Raja Ampat;Kabupaten/Kota;27;9;7;9;52
531;320.900;Kab. Tambrauw;Kabupaten/Kota;26;7;13;1;47
532;321.000;Kab. Maybrat;Kabupaten/Kota;3;13;1;0;17
533;321.100;Kab. Pegunungan Arfak;Kabupaten/Kota;35;7;0;0;42
534;321.200;Kab. Manokwari Selatan;Kabupaten/Kota;23;5;4;0;32
535;326.000;Kota Sorong;Kabupaten/Kota;128;15;17;31;191
537;330.100;Kab. Mamuju;Kabupaten/Kota;104;32;12;7;155
538;330.200;Kab. Pasangkayu;Kabupaten/Kota;59;40;4;30;133
539;330.300;Kab. Polewali Mandar;Kabupaten/Kota;98;57;6;14;175
540;330.400;Kab. Mamasa;Kabupaten/Kota;40;19;20;186;265
541;330.500;Kab. Majene;Kabupaten/Kota;42;12;40;106;200
542;330.600;Kab. Mamuju Tengah;Kabupaten/Kota;59;6;0;13;78
544;340.100;Kab. Malinau;Kabupaten/Kota;32;13;6;0;51
545;340.200;Kab. Bulungan;Kabupaten/Kota;30;2;2;2;36
546;340.300;Kab. Tana Tidung;Kabupaten/Kota;6;0;0;1;7
547;340.500;Kab. Nunukan;Kabupaten/Kota;70;18;6;8;102
548;346.000;Kota Tarakan;Kabupaten/Kota;24;6;2;5;37
549;347.000;Luar Negeri;Luar Negeri;73;8;16;0;97
